age_range	fy	Population
0	1981-82	932409
0	1982-83	967728
0	1983-84	1008915
0	1984-85	1046528
0	1985-86	1082438
0	1986-87	1113639
0	1987-88	1138280
0	1988-89	1164101
0	1989-90	1198302
0	1990-91	1244531
0	1991-92	1287755
0	1992-93	1329271
0	1993-94	1372894
0	1994-95	1411995
0	1995-96	1456302
0	1996-97	1501492
0	1997-98	1545982
0	1998-99	1590382
0	1999-00	1631992
0	2000-01	1677117
0	2001-02	1705328
0	2002-03	1729969
0	2003-04	1753331
0	2004-05	1779566
0	2005-06	1809343
0	2006-07	1850413
0	2007-08	1889657
0	2008-09	1934526
0	2009-10	1985654
0	2010-11	2035689
0	2011-12	2086305
0	2012-13	2137097
0	2013-14	2202203
0	2014-15	2268916
0	2015-16	2342601
0	2016-17	2453355
0	2017-18	2555044
0	2018-19	2653127
0	2019-20	2764686
0	2020-21	2888920
0	2021-22	3021940
0	2022-23	3168889
0	2023-24	3320349
0	2024-25	3485874
0	2025-26	3662892
0	2026-27	3842221
0	2027-28	4016744
0	2028-29	4193858
0	2029-30	4381621
0	2030-31	4563878
0	2031-32	4756137
0	2032-33	4943079
0	2033-34	5105896
0	2034-35	5264882
0	2035-36	5397655
0	2036-37	5539370
0	2037-38	5630456
0	2038-39	5737021
0	2039-40	5854394
1	1981-82	542837
1	1982-83	543118
1	1983-84	538205
1	1984-85	546339
1	1985-86	570151
1	1986-87	595045
1	1987-88	621610
1	1988-89	649842
1	1989-90	662351
1	1990-91	671390
1	1991-92	677301
1	1992-93	683939
1	1993-94	684970
1	1994-95	686722
1	1995-96	688787
1	1996-97	686135
1	1997-98	680664
1	1998-99	675852
1	1999-00	672794
1	2000-01	677898
1	2001-02	693458
1	2002-03	711646
1	2003-04	732674
1	2004-05	754865
1	2005-06	773121
1	2006-07	800638
1	2007-08	827160
1	2008-09	865863
1	2009-10	908395
1	2010-11	954260
1	2011-12	1022037
1	2012-13	1079676
1	2013-14	1118120
1	2014-15	1156379
1	2015-16	1193073
1	2016-17	1193472
1	2017-18	1206918
1	2018-19	1225300
1	2019-20	1245460
1	2020-21	1273303
1	2021-22	1304681
1	2022-23	1337334
1	2023-24	1371765
1	2024-25	1404904
1	2025-26	1436678
1	2026-27	1466716
1	2027-28	1493774
1	2028-29	1513440
1	2029-30	1518394
1	2030-31	1515186
1	2031-32	1508301
1	2032-33	1508353
1	2033-34	1521311
1	2034-35	1548007
1	2035-36	1595594
1	2036-37	1642514
1	2037-38	1668399
1	2038-39	1680016
1	2039-40	1682298
2	1981-82	636152
2	1982-83	663020
2	1983-84	691981
2	1984-85	708545
2	1985-86	719433
2	1986-87	723712
2	1987-88	731195
2	1988-89	735325
2	1989-90	738468
2	1990-91	736868
2	1991-92	727296
2	1992-93	716251
2	1993-94	710089
2	1994-95	707497
2	1995-96	706996
