FY	CGT_discount_for_individuals_and_trusts_millions	URL	Projected
2019-20	12090	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	1
2018-19	11310	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	1
2017-18	11080	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	1
2016-17	9610	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	
2015-16	9750	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	
2014-15	6530	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	
2013-14	4420	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	
2012-13	4070	https://static.treasury.gov.au/uploads/sites/1/2017/06/Tax-Expenditure-Statement-2016.pdf	
2011-12	4930	http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2015/Tax%20Expenditures%20Statement%202014/Downloads/PDF/TES_2014.ashx	
2010-11	4410	http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2015/Tax%20Expenditures%20Statement%202014/Downloads/PDF/TES_2014.ashx	
2009-10	4320	http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/TES/downloads/PDF/TES_2013_Consolidated.ashx	
2008-09	9170	http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/TES/downloads/PDF/TES_2013_Consolidated.ashx	
2007-08	9740	http://www.treasury.gov.au/Policy-Topics/Taxation/Pocket-Guide-to-the-Australian-Tax-System/~/media/Treasury/Publications%20and%20Media/Publications/2012/Tax%20Expenditures%20Statement%202011/Downloads/Consolidated_TES.ashx	
2006-07	6150		
2005-06	4960	http://lowpollutionfuture.treasury.gov.au/documents/1211/PDF/06_Chapter6.pdf	
2004-05	4260		
2003-04	2920		
2002-03	2740		
2001-02	2130		
